Año,Ingresos totales,Ingresos totales (USD),Crecimiento (%),Promedio de Crecimiento
2014,3.9504413478638325e+27,1.4776843524589784e+25,,15.816516085484812
2015,5.376899515373947e+27,2.0112588895690684e+25,36.10883042932556,15.816516085484812
2016,7.483980691244265e+27,2.7994242130785763e+25,39.187661399392496,15.816516085484812
2019,2.416925121652748e+31,9.04064158619267e+28,45.26809521452768,15.816516085484812
2020,3.353970331997445e+31,1.25457108251569e+29,38.770138220249216,15.816516085484812
2021,4.546788742999945e+31,1.700751381386977e+29,35.564369774616345,15.816516085484812
2022,6.705593060335724e+23,2.5082640309477536e+21,-99.99999852520241,15.816516085484812
